Input String,Expected Value,Predicted Value
['end in flash offer two pair of shoe for promo code auto appli at checkout day hour minut second'],['Countdown Timer'],['Countdown Timer']
['day left'],['Countdown Timer'],['Low-stock Message']
['day left offer end day'],['Countdown Timer'],['Countdown Timer']
['your cart reserv minut'],['Countdown Timer'],['Countdown Timer']
['sale end in day hour minut second'],['Countdown Timer'],['Countdown Timer']
['your one time offer enjoy sitewid appli checkout offer end hr min sec'],['Countdown Timer'],['Countdown Timer']
['checkout within run stock'],['Countdown Timer'],['Low-stock Message']
['deal expir hr min sec'],['Countdown Timer'],['Countdown Timer']
['day'],['Countdown Timer'],['Countdown Timer']
['day'],['Countdown Timer'],['Countdown Timer']
['discount order within'],['Countdown Timer'],['Hidden Costs']
['offer expir in ye no want off your first order minut second'],['Countdown Timer'],['Countdown Timer']
['order get mattress'],['Countdown Timer'],['Hidden Costs']
['off end in day hour minut second'],['Countdown Timer'],['Countdown Timer']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
[''],['Countdown Timer'],['Hidden Costs']
['be quick don t miss out'],['Countdown Timer'],['Confirmshaming']
['vip offer end'],['Countdown Timer'],['Countdown Timer']
['offer end hr min sec'],['Countdown Timer'],['Countdown Timer']
['day left'],['Countdown Timer'],['Low-stock Message']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['activ within'],['Countdown Timer'],['Hidden Costs']
['your cart will expir in minut pleas note item may avail releas'],['Countdown Timer'],['Low-stock Message']
[''],['Countdown Timer'],['Hidden Costs']
['hurri up time run'],['Countdown Timer'],['Low-stock Message']
['hurri sale end'],['Countdown Timer'],['Countdown Timer']
['day'],['Countdown Timer'],['Countdown Timer']
['complet purchas within next minut receiv'],['Countdown Timer'],['Countdown Timer']
['hautelook'],['Countdown Timer'],['Hidden Costs']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['offer end hour minut second'],['Countdown Timer'],['Countdown Timer']
['off end in day hr min sec'],['Countdown Timer'],['Countdown Timer']
['day'],['Countdown Timer'],['Countdown Timer']
['day'],['Countdown Timer'],['Countdown Timer']
['item reserv cart'],['Countdown Timer'],['Countdown Timer']
['offer end in time is run out'],['Countdown Timer'],['Limited-time Message']
['item reserv cart'],['Countdown Timer'],['Countdown Timer']
['offer end'],['Countdown Timer'],['Countdown Timer']
['you left item bag releas minut second'],['Countdown Timer'],['Countdown Timer']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['wait your cart qualifi for off your entir order offer expir'],['Countdown Timer'],['Countdown Timer']
['deal end in day hr min sec'],['Countdown Timer'],['Countdown Timer']
['flash sale end shop now'],['Countdown Timer'],['Countdown Timer']
['deal end in'],['Countdown Timer'],['Countdown Timer']
['deal end in'],['Countdown Timer'],['Countdown Timer']
['offer end hr min sec'],['Countdown Timer'],['Countdown Timer']
['hurri don t miss thi deal day hr min second'],['Countdown Timer'],['Countdown Timer']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['order get pillow free'],['Countdown Timer'],['Limited-time Message']
['hurri end in hr min sec'],['Countdown Timer'],['Countdown Timer']
['flash sale almost over hour minut second'],['Countdown Timer'],['Countdown Timer']
['last chanc up to off end in hr min sec'],['Countdown Timer'],['Countdown Timer']
['day hour minut second'],['Countdown Timer'],['Countdown Timer']
['hurri your off expir in'],['Countdown Timer'],['Low-stock Message']
['offer end day hour min sec'],['Countdown Timer'],['Countdown Timer']
['off everyth excl sale beauti enter doll hurri end in h m s'],['Countdown Timer'],['Countdown Timer']
['hurri order within h to get off everyth excl sale beauti enter doll'],['Countdown Timer'],['Low-stock Message']
['last chanc to save enter email save first order hour minut second'],['Countdown Timer'],['Countdown Timer']
['day hr min sec'],['Countdown Timer'],['Countdown Timer']
['offer end'],['Countdown Timer'],['Countdown Timer']
['hurri end in hr min sec'],['Countdown Timer'],['Countdown Timer']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['your order reserv'],['Countdown Timer'],['Countdown Timer']
['end day minut second'],['Countdown Timer'],['Countdown Timer']
['offer end h'],['Countdown Timer'],['Countdown Timer']
['hurri up h m s'],['Countdown Timer'],['Low-stock Message']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['item reserv'],['Countdown Timer'],['Countdown Timer']
['get sampl door offer end in use promo code sampl'],['Countdown Timer'],['Countdown Timer']
['massiv tax time sale see discount sale end'],['Countdown Timer'],['Countdown Timer']
['day'],['Countdown Timer'],['Countdown Timer']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['save on all order no voucher code need expir'],['Countdown Timer'],['Countdown Timer']
['up to off spring sale plu off all shower enter code shower at checkout must end tuesday day hour min sec'],['Countdown Timer'],['Countdown Timer']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['hurri limit time offer'],['Countdown Timer'],['Limited-time Message']
['time remain'],['Countdown Timer'],['Limited-time Message']
['price guarante for day hr min sec'],['Countdown Timer'],['Countdown Timer']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['your order reserv minut'],['Countdown Timer'],['Countdown Timer']
['hurri sale end hour'],['Countdown Timer'],['Countdown Timer']
['i read accept term condit i also author bosley contact phone text util autom dial equip well email mail inform appoint product servic news promot i also agre bosley term servic otherwis call bosley request free inform kit schedul free oblig consult'],['Forced Enrollment'],['Hard to Cancel']
['i accept term condit free brother care program agre receiv exclus offer gener promot brother i may withdraw consent time'],['Forced Enrollment'],['Forced Enrollment']
['i would like join backstag pass agre term condit receiv email promot offer'],['Forced Enrollment'],['Forced Enrollment']
['i agre receiv market email natur life agre privaci polici term use'],['Forced Enrollment'],['Hard to Cancel']
['you may chang item order cancel smartship anytim day prior schedul ship date smartship call custom servic'],['Hard to Cancel'],['Countdown Timer']
['if wish cancel subscript email us getflat flattummyco com'],['Hard to Cancel'],['Hard to Cancel']
['there commit minimum buy pleas note exact shipment time may vari to custom program futur shipment call custom servic anytim thicken'],['Hard to Cancel'],['Activity Notification']
['member may cancel membership time membership term receiv full refund less benefit save receiv current membership term exampl buyer club discount receiv free ship refund complet year complet made even member use benefit membership term to cancel membership pleas contact custom servic depart contact us'],['Hard to Cancel'],['Hard to Cancel']
['ketol subscript long term contract paus cancel chang time want swap vanilla chocol set renew everi week no problem send us email help ketol com make chang'],['Hard to Cancel'],['Hard to Cancel']
['purchas benefit club member cancel purchas benefit time call mdg custom servic depart ext request cancel purchas benefit'],['Hard to Cancel'],['Hard to Cancel']
['we also send addit email confirm renew should elect renew membership may cancel time prior renew email us passportmembership flower com credit debit card file us charg a confirm email sent if email cancel membership renew credit debit card charg current paid annual membership fee passport program howev may request flower may grant pro rata refund within sole discret base upon extent may util benefit passport program period time remain paid membership'],['Hard to Cancel'],['Hard to Cancel']
['if wish cancel membership pleas contact custom servic depart uk standard local call charg appli via email custom servic beautypi com you also contact custom servic depart post beauti pie limit custom servic depart the point new king road london sw nz unit kingdom pleas quot order number correspond'],['Hard to Cancel'],['Activity Notification']
['prior automat renew bill notifi advanc via email use time enrol pend renew ii current fee charg applic passport program iii may find inform passport program we also send addit email confirm renew should elect renew membership may cancel time prior renew email us passportmembership flower com credit debit card file us charg a confirm email sent'],['Hard to Cancel'],['Hard to Cancel']
['to cancel order ship call us'],['Hard to Cancel'],['Hard to Cancel']
['expos membership recur subscript cancel if you order expos membership select recur bill subscript you receiv new kit approxim everi day you abl cancel contact expos custom care pm pacif time m f if you part monthli instal program you bill two monthli instal acn kit ship each kit ship everi two month unless membership cancel to cancel your expos membership you must first pay full kit ship contact expos custom care pm pacif time m f process your cancel'],['Hard to Cancel'],['Hard to Cancel']
['you may cancel vip membership time call open'],['Hard to Cancel'],['Hard to Cancel']
['if you particip in an automat renew subscript and you have provid us with a valid credit card number or an altern payment method each shipment will be automat process at the time of each shipment or instal and will be bill to the payment method you provid to us at the time of your initi purchas and agreement to particip in the program if you wish to cancel your particip in an automat renew subscript you may do so at ani time by contact a custom care profession at the contact inform provid on the websit'],['Hard to Cancel'],['Hard to Cancel']
['you may cancel renew membership vip program find inform vip program subscript includ annual expir date contact support grove co'],['Hard to Cancel'],['Hard to Cancel']
['no worri membership renew we bill credit card file introductori rate per month first year membership reward discount at end introductori period bill regular monthli rate per month if want membership renew simpli contact us cancel subscript you refund current month membership fee less membership save receiv exclus toll free hotlin number becaus want call get top prioriti special number valu club member your call handl utmost prompt courtesi effici possibl'],['Hard to Cancel'],['Hard to Cancel']
['if jr plu membership renew automat seven day payment taken cancel annual membership you must contact custom servic within window made elig purchas use jr plu servic you provid full refund membership fee renew year jr plu servic cancel account if cancel renew year seven day window expir entitl refund renew fee even made elig purchas renew term'],['Hard to Cancel'],['Hard to Cancel']
['you may cancel justfab vip membership time there absolut cancel fee if would like continu receiv select skip month click skip thi month boutiqu st th month you charg member credit gener if longer want skip month call fashion consult local rate mon fri am pm sat sun am pm cancel membership via chat'],['Hard to Cancel'],['Hard to Cancel']
['you may cancel vip membership time call open'],['Hard to Cancel'],['Hard to Cancel']
['you may cancel membership time call us am pm pst email support luckytacklebox com california resid may also cancel subscript access account site'],['Hard to Cancel'],['Hard to Cancel']
['you may cancel mint more membership time contact mint custom servic www mint com help if cancel membership mint more gift box ship refund full membership fee provid may charg withhold refund valu mint more discount benefit use account prior cancel if cancel time membership fee non refund'],['Hard to Cancel'],['Hard to Cancel']
['we may also disclos inform third parti may contact detail product servic may interest if want name mail detail made avail way pleas email opt nextdirect com'],['Hard to Cancel'],['Hard to Cancel']
['we may also disclos inform third parti may contact detail product servic may interest if want name mail detail made avail way pleas email opt nextdirect com'],['Hard to Cancel'],['Hard to Cancel']
['when join petplu plan given option purchas membership annual monthli basi automat enrol recur bill program you may cancel time contact custom servic team refund unus day membership choos cancel prior end bill cycl you may cancel petplu membership time without penalti util petplu benefit includ discount product servic for custom charg monthli basi purchas product use servic use petplu benefit charg administr fee per membership cancel membership cancel within three month enrol'],['Hard to Cancel'],['Hard to Cancel']
['onli for your first six month then each year your membership will automat renew for and be charg to your credit debit card on file cancel your vip membership ani time to receiv a prorat refund by call by submit your order you agre to these vip membership term'],['Hard to Cancel'],['Hard to Cancel']
['for inform vip reward club membership purchas termin membership start stop automat renew membership contact ross simon custom servic postal mail ross simon ross simon drive cranston rhode island email customerservic ross simon com call vip reward club prioriti line'],['Hard to Cancel'],['Hard to Cancel']
['there oblig buy xtra vip member minimum number month commit membership you shop skip th month cancel membership time call savagex open'],['Hard to Cancel'],['Hard to Cancel']
['you may cancel vip membership time call open'],['Hard to Cancel'],['Hard to Cancel']
['you may cancel your wine club membership or ani holiday shipment at ani time by contact us at and we will promptli stop process the recur payment'],['Hard to Cancel'],['Hard to Cancel']
['how i cancel membership we confid enjoy premium membership if reason complet satisfi within first day paid annual membership refund membership fee question ask after day refund membership fee pro rate basi there refund monthli membership to obtain refund pleas contact us email wwgoasubscript program director net'],['Hard to Cancel'],['Hard to Cancel']
['cancel polici if complet satisfi yogi surpris cancel membership discontinu monthli payment time in order cancel renew next shipment need contact yogi surpris prior renew date th month email support yogisurpris com respond promptli if membership alreadi renew like cancel upcom shipment must request cancel rd month elig refund if you do not cancel prior to the third day of a calendar month you cannot be refund for that month s shipment we do not offer refund on box that have alreadi been ship to request cancel simpli click submit contact form email us support yogisurpris com we get back promptli'],['Hard to Cancel'],['Hard to Cancel']
['merchandis iservic charg total befor tax estim tax order total'],['Hidden Costs'],['Hidden Costs']
['order subtot standard deliveri care handl tax total save today'],['Hidden Costs'],['Hidden Costs']
['hug kiss rose bouquet discount deliveri tax item total'],['Hidden Costs'],['Hidden Costs']
['free day vip trial membership order cancel anytim'],['Hidden Subscription'],['Hard to Cancel']
['would you like a free next directori explor latest collect free next directori by opt receiv next directori agre may send discret directori usual januari juli year charg per public you also agre receiv supplementari directori new in public addit charg'],['Hidden Subscription'],['Limited-time Message']
['after year subscript auto renew fee review ifit coach account comput tablet smartphon equip consol'],['Hidden Subscription'],['Hidden Costs']
['be part best famili ever enjoy vip benefit everi order everi day that instant save plu back reward cash everyth plu enjoy day test run shoe sock insol and much join today first year'],['Hidden Subscription'],['Countdown Timer']
['netflix offer not avail custom activ netflix offer vodafon avail red lite unlimit red essenti red th august exit fee appli exit transfer plan month plan exit fee may also appli netflix offer one year netflix standard plan month credit appli netflix account activ at end credit charg netflix plan rate unless cancel netflix subscript cancel netflix time netflix compat devic requir see elig plan full netflix term'],['Hidden Subscription'],['Hard to Cancel']
['enjoy free ship wsjwine advantag'],['Hidden Subscription'],['Sneak into Basket']
['sell fast'],['High-demand Message'],['Hidden Costs']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['will sell fast'],['High-demand Message'],['Hidden Costs']
['strong demand complet order late'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['item cart veri high demand'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['item cart high demand'],['High-demand Message'],['High-demand Message']
['extrem high demand expect week arriv safe limit per person'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['high demand'],['High-demand Message'],['High-demand Message']
['high demand'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri priorit order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['thi item high demand'],['High-demand Message'],['High-demand Message']
['sorri stock you miss'],['High-demand Message'],['Low-stock Message']
['item cart sell fast'],['High-demand Message'],['Activity Notification']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['item cart high demand but reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['onc it s gone it s gone'],['High-demand Message'],['Hidden Costs']
['onc it s gone it s gone'],['High-demand Message'],['Hidden Costs']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['sell fast get off thi item activ now'],['High-demand Message'],['Activity Notification']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['item cart high demand reserv order'],['High-demand Message'],['High-demand Message']
['our item sell fast miss'],['High-demand Message'],['Low-stock Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['an item in your cart is sell out quickli'],['High-demand Message'],['Activity Notification']
['in high demand'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri priorit order'],['High-demand Message'],['High-demand Message']
['an item order high demand no worri reserv order'],['High-demand Message'],['High-demand Message']
['hurri style sell fast'],['High-demand Message'],['Low-stock Message']
['in demand'],['High-demand Message'],['High-demand Message']
['due to high demand cart expir in'],['High-demand Message'],['High-demand Message']
['sell fast'],['High-demand Message'],['Hidden Costs']
['hurri style sell fast'],['High-demand Message'],['Low-stock Message']
['limit offer off free pillow'],['Limited-time Message'],['Limited-time Message']
['sale end soon'],['Limited-time Message'],['Countdown Timer']
['limit time offer nfree ntlpwr test lead'],['Limited-time Message'],['Limited-time Message']
['here limit time red bottl sticker w adam logo'],['Limited-time Message'],['Limited-time Message']
['limit time blow out sale up to off best price guarante'],['Limited-time Message'],['Limited-time Message']
['free ship for a limit time price are in usd and includ all import duti'],['Limited-time Message'],['Limited-time Message']
['flash sale alert you buy utorch corridor porch aisl light gearbest com hurri limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time buy the new purpl plush pillow get one free'],['Limited-time Message'],['Limited-time Message']
['now hurri limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time deal'],['Limited-time Message'],['Limited-time Message']
['wait take your first order deal expir soon'],['Limited-time Message'],['Countdown Timer']
['limit time sale'],['Limited-time Message'],['Limited-time Message']
['onli avail for a limit time'],['Limited-time Message'],['Limited-time Message']
['off limit time onli'],['Limited-time Message'],['Limited-time Message']
['onli avail limit time get today'],['Limited-time Message'],['Limited-time Message']
['limit time offer free ship over free return'],['Limited-time Message'],['Limited-time Message']
['end sunday mattress free ship free return'],['Limited-time Message'],['Limited-time Message']
['act save limit time'],['Limited-time Message'],['Limited-time Message']
['for limit time buy hydroxycut hardcor elit serv'],['Limited-time Message'],['Limited-time Message']
['limit time offer torsion gun holster super combo'],['Limited-time Message'],['Limited-time Message']
['on sale at for a limit time'],['Limited-time Message'],['Limited-time Message']
['limit time free ship lower to order over'],['Limited-time Message'],['Limited-time Message']
['limit time offer off enter code case at checkout'],['Limited-time Message'],['Limited-time Message']
['sale end soon'],['Limited-time Message'],['Countdown Timer']
['for a limit time onli'],['Limited-time Message'],['Limited-time Message']
['limit time promo'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time onli free ship to select countri on order over'],['Limited-time Message'],['Limited-time Message']
['limit time'],['Limited-time Message'],['Limited-time Message']
['for a limit time detail'],['Limited-time Message'],['Limited-time Message']
['flash sale limit time onli shop now'],['Limited-time Message'],['Limited-time Message']
['limit time sale buy now'],['Limited-time Message'],['Limited-time Message']
['limit time off discount reflect in price'],['Limited-time Message'],['Limited-time Message']
['sleep event offer limit time onli'],['Limited-time Message'],['Limited-time Message']
['limit time off discount reflect in price'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['full hd hz ip anti glare x free upgrad limit time offer'],['Limited-time Message'],['Limited-time Message']
['on sale limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['free ship for a limit time onli'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time remain'],['Limited-time Message'],['Limited-time Message']
['limit time remain'],['Limited-time Message'],['Limited-time Message']
['limit time final price reflect extra'],['Limited-time Message'],['Limited-time Message']
['limit time save off order coupon save plu free gift order'],['Limited-time Message'],['Limited-time Message']
['limit time onli'],['Limited-time Message'],['Limited-time Message']
['limit time onli'],['Limited-time Message'],['Limited-time Message']
['free ship on order over limit time onli'],['Limited-time Message'],['Limited-time Message']
['hurri uk deliveri end soon'],['Limited-time Message'],['Countdown Timer']
['limit time'],['Limited-time Message'],['Limited-time Message']
['limit time onli up off freshwat plant shop now'],['Limited-time Message'],['Limited-time Message']
['limit time offer off first order'],['Limited-time Message'],['Limited-time Message']
['framon code machin offer limit time offer'],['Limited-time Message'],['Limited-time Message']
['stock is guarante for minut'],['Limited-time Message'],['Countdown Timer']
['hurri gone limit time remain'],['Limited-time Message'],['Limited-time Message']
['limit time onli'],['Limited-time Message'],['Limited-time Message']
['on sale select season t shirt limit time save now'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['limit time onli select model'],['Limited-time Message'],['Limited-time Message']
['limit time offer limit offer naomi home coupon n you pay'],['Limited-time Message'],['Limited-time Message']
['limit time'],['Limited-time Message'],['Limited-time Message']
['free ship limit time onli order'],['Limited-time Message'],['Limited-time Message']
['limit time free ship order'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['off select jacket limit time'],['Limited-time Message'],['Limited-time Message']
['off everyth enter plt free ship over hurri limit time onli'],['Limited-time Message'],['Limited-time Message']
['off everyth enter plt free ship on all order over'],['Limited-time Message'],['Sneak into Basket']
['on sale limit time offer'],['Limited-time Message'],['Limited-time Message']
['save nfor limit time'],['Limited-time Message'],['Limited-time Message']
['now hurri limit time offer'],['Limited-time Message'],['Limited-time Message']
['site wide save entir famili price rogan shoe everi day low price price alreadi reflect site limit time restrict appli onlin onli'],['Limited-time Message'],['Limited-time Message']
['limit time offer men s chino pocket pant buy for each shop now'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['hot offer limit time'],['Limited-time Message'],['Limited-time Message']
['limit time offer'],['Limited-time Message'],['Limited-time Message']
['layaway sale we will match your initi payment limit time onli'],['Limited-time Message'],['Limited-time Message']
['limit time free ship order minimum requir'],['Limited-time Message'],['Limited-time Message']
['off valentin u s day favourit limit time onli'],['Limited-time Message'],['Limited-time Message']
['limit time onli onlin onli'],['Limited-time Message'],['Limited-time Message']
['limit time onli off spend new custom onli term condit appli'],['Limited-time Message'],['Limited-time Message']
['limit time onli off'],['Limited-time Message'],['Limited-time Message']
['free upgrad limit time n dish instal not avail'],['Limited-time Message'],['Limited-time Message']
['rs retail discount rs limit time coupon'],['Limited-time Message'],['Limited-time Message']
['save today save light le klint limit time'],['Limited-time Message'],['Limited-time Message']
['onli unit left stock'],['Low-stock Message'],['Low-stock Message']
['low stock sell fast'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['limit stock'],['Low-stock Message'],['Low-stock Message']
['onli left in stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['item left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['low in stock today'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left in stock'],['Low-stock Message'],['Low-stock Message']
['onli item left'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['claim hurri left'],['Low-stock Message'],['Low-stock Message']
['onli unit left stock'],['Low-stock Message'],['Low-stock Message']
['onli left get it now'],['Low-stock Message'],['Low-stock Message']
['limit stock'],['Low-stock Message'],['Low-stock Message']
['we left stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli item left'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['hurri onli left in stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['order left stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['low stock left'],['Low-stock Message'],['Low-stock Message']
['item s left in stock'],['Low-stock Message'],['Low-stock Message']
['left stock'],['Low-stock Message'],['Low-stock Message']
['hurri left'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['less left stock'],['Low-stock Message'],['Low-stock Message']
['avail low stock today'],['Low-stock Message'],['Low-stock Message']
['limit quantiti'],['Low-stock Message'],['Low-stock Message']
['limit stock'],['Low-stock Message'],['Low-stock Message']
['hurri onli left stock'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['pre order left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli item left stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left in stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli unit left'],['Low-stock Message'],['Activity Notification']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left size'],['Low-stock Message'],['Low-stock Message']
['there one product left'],['Low-stock Message'],['Activity Notification']
['limit stock'],['Low-stock Message'],['Low-stock Message']
['onli unit left stock'],['Low-stock Message'],['Low-stock Message']
['low stock left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['hurri onli left in stock'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left in stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left price'],['Low-stock Message'],['Low-stock Message']
['onli unit left stock'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli copi left'],['Low-stock Message'],['Low-stock Message']
['low stock left'],['Low-stock Message'],['Low-stock Message']
['statu onli left stock'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['item left'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['item left order soon'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['hurri onli left in stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock order soon'],['Low-stock Message'],['Low-stock Message']
['onli left stock don miss'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['limit stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli one item left stock'],['Low-stock Message'],['Low-stock Message']
['onli item left'],['Low-stock Message'],['Low-stock Message']
['onli one item left stock'],['Low-stock Message'],['Low-stock Message']
['onli one item left stock'],['Low-stock Message'],['Low-stock Message']
['onli item left stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left stock get quick'],['Low-stock Message'],['Low-stock Message']
['less than left'],['Low-stock Message'],['Low-stock Message']
['left'],['Low-stock Message'],['Low-stock Message']
['item left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['left price'],['Low-stock Message'],['Confirmshaming']
['onli left'],['Low-stock Message'],['Low-stock Message']
['left stock'],['Low-stock Message'],['Low-stock Message']
['onli left get it now'],['Low-stock Message'],['Low-stock Message']
['offer claim hurri'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
['onli left stock'],['Low-stock Message'],['Low-stock Message']
['onli left'],['Low-stock Message'],['Low-stock Message']
